No.,Requirement,Use Case(s)
,"기본 정보(이름, 주민번호, 주소, 이메일 등), ID/비번을 저장 할 수있다.",회원 가입
,탈퇴한 사용자의 권한 삭제할 수 있다.,"회원 탈퇴,판매 등록한 의류 조회"
,회원은 ID / 비밀번호 입력하여 로그인 한다.,로그인
,회원은 로그아웃을 할 수 있다.,로그아웃
,"회원은 판매하는 의류를 등록할 수 있다. 
이 때, 판매 상품의 상품명, 제작회사명, 가격, 수량, 추가상품, 추가상품 가격, 판매 종료일 등의 정보를 입력해야 한다.",판매 의류 등록
,회원은 자신이 등록한 판매중인 의류 상품 리스트를 조회할 수 있다.,판매 등록한 의류 조회
,회원은 자신이 등록한 의류 상품에 대한 모든 항목을 수정할 수 있다.,판매 등록한 의류 수정
,회원은 자신이 판매를 완료한 의류 상품을 조회할 수 있다.,판매 완료된 의류 조회
,회원은 상품을 검색할 수 있다.,상품 정보 검색
,회원은 검색된 상품을 정렬할 수 있다.,상품 정렬하기 
,제품의 상세 정보를 확인할 수 있다. ,상품 상세 페이지 제공
,회원은 상품을 구매할 수 있다.,상품 구매
,회원은 상품 결제시 포인트를 사용할 수 있다.,상품 결제 
,회원은 상품 구매시 포인트를 적립할 수 있다.,포인트 적립
,회원은 자신의 구매 내역을 조회할 수 있다.,구매내역 조회
,회원은 상품에 대한 구매 만족도를 평가할 수 있다.,만족도 평가
,회원은 환불을 할 수 있다.,"환불하기, 거래내역 삭제"
,회원은 상품 구매 시 추가 상품을 구매할 수 있다.,결제 가격 변경
,회원은 3개월이 지난 거래 내역을 임의로 삭제할 수 있다,거래내역 삭제
,6개월이 지난 거래 내역을 자동으로 삭제한다.,거래내역 삭제
,회원이 판매한 상품에 대한 총액 및 평균 구매만족도와 구매한 상품에 대한 총액 및 평균 구매 만족도를 출력할 수 있다. ,구매 및 판매 통계 계산
,서버점검은 한달에 한번 KST 시간 기준으로 새벽에 진행한다,non functional
,시스템에서 영어와 한국어를 지원한다.,non functional